Date,my_state,Sentiment_score
2020-03-01,AK,-0.03545
2020-03-01,AL,-0.06749242424242424
2020-03-01,AR,-0.060260869565217375
2020-03-01,AZ,-0.06658015873015873
2020-03-01,CA,-0.0651521057786485
2020-03-01,CO,-0.019745695364238394
2020-03-01,CT,-0.1397727272727273
2020-03-01,DE,0.046596774193548386
2020-03-01,FL,-0.031178800856531044
2020-03-01,GA,-0.05433288590604026
2020-03-01,HI,-0.013721428571428577
2020-03-01,IA,-0.016300000000000005
2020-03-01,ID,-0.06936785714285716
2020-03-01,IL,0.021935922330097102
2020-03-01,IN,-0.022195738636363628
2020-03-01,KS,0.0017120689655172462
2020-03-01,KY,-0.11760434782608693
2020-03-01,LA,-0.08062499999999999
2020-03-01,MA,0.010832338308457711
2020-03-01,MD,-0.007974074074074076
2020-03-01,ME,-0.011406060606060598
2020-03-01,MI,-0.07963517241379309
2020-03-01,MN,0.02528762886597939
2020-03-01,MO,-0.08866734693877548
2020-03-01,MS,-0.22523333333333329
2020-03-01,MT,0.1188
2020-03-01,NC,0.021452830188679245
2020-03-01,ND,0.3644333333333334
2020-03-01,NE,0.03715434782608693
2020-03-01,NH,0.05158571428571428
2020-03-01,NJ,-0.15824923076923075
2020-03-01,NM,-0.15733684210526314
2020-03-01,NV,-0.02813521126760564
2020-03-01,NY,-0.03832984293193719
2020-03-01,OH,-0.0674530612244898
2020-03-01,OK,-0.11635384615384615
2020-03-01,OR,-0.02386153846153846
2020-03-01,PA,-0.008619574468085114
2020-03-01,RI,0.09373695652173918
2020-03-01,SC,-0.1967045454545455
2020-03-01,SD,0.21280000000000002
2020-03-01,TN,-0.08740530973451328
2020-03-01,TX,-0.05424886363636366
2020-03-01,UT,-0.1225891304347826
2020-03-01,VA,-0.0845556962025316
2020-03-01,VT,-0.20433076923076923
2020-03-01,WA,-0.015018960674157306
2020-03-01,WI,-0.01913369565217393
2020-03-01,WV,-0.2468857142857143
2020-03-01,WY,-0.12598333333333334
2020-03-02,AK,0.0007187499999999902
2020-03-02,AL,-0.02094962962962962
2020-03-02,AR,-0.025109999999999993
2020-03-02,AZ,-0.012529012345679012
2020-03-02,CA,-0.004504556354916063
2020-03-02,CO,0.0053170542635659
2020-03-02,CT,0.08879805825242713
2020-03-02,DE,-0.10489625
2020-03-02,FL,0.029476394849785422
2020-03-02,GA,-0.021537339055793997
2020-03-02,HI,-0.13213928571428576
2020-03-02,IA,-0.017901754385964905
2020-03-02,ID,0.025613888888888867
2020-03-02,IL,0.03273239875389406
2020-03-02,IN,-0.048123404255319156
2020-03-02,KS,0.018623437499999992
2020-03-02,KY,-0.060626315789473695
2020-03-02,LA,-0.01314646464646465
2020-03-02,MA,-0.022403395061728386
2020-03-02,MD,0.0048814814814814745
2020-03-02,ME,-0.14865
2020-03-02,MI,-0.04248054298642533
2020-03-02,MN,0.040449735449735444
2020-03-02,MO,0.08644871794871797
2020-03-02,MS,-0.01812500000000002
2020-03-02,MT,0.14966857142857143
2020-03-02,NC,0.025069594594594596
2020-03-02,ND,-0.11020000000000005
2020-03-02,NE,-0.04627619047619048
2020-03-02,NH,0.06959714285714286
2020-03-02,NJ,0.007467241379310359
2020-03-02,NM,-0.11911739130434783
2020-03-02,NV,-0.047463291139240506
2020-03-02,NY,0.05824058171745151
2020-03-02,OH,-0.035456326530612245
2020-03-02,OK,0.005181818181818197
2020-03-02,OR,0.017362634408602137
2020-03-02,PA,-0.0010502941176470679
2020-03-02,RI,0.08206
2020-03-02,SC,0.044356338028169004
2020-03-02,SD,0.10672000000000001
2020-03-02,TN,-0.07051764705882348
2020-03-02,TX,0.0181273607748184
2020-03-02,UT,-0.0085150684931507
2020-03-02,VA,-0.05428641114982579
2020-03-02,VT,-0.033771153846153854
2020-03-02,WA,-0.008955649500384315
2020-03-02,WI,0.03215428571428571
2020-03-02,WV,0.0176357142857143
2020-03-02,WY,-0.07816999999999999
2020-03-03,AK,0.08514901960784312
2020-03-03,AL,0.04233577235772359
2020-03-03,AR,-0.04257777777777778
2020-03-03,AZ,0.002153061224489791
2020-03-03,CA,-0.04840042219541619
2020-03-03,CO,0.07449839228295821
2020-03-03,CT,-0.03933984962406014
2020-03-03,DE,-0.00970275229357796
2020-03-03,FL,-0.001770087609511902
2020-03-03,GA,0.05947913669064746
2020-03-03,HI,-0.0007913043478260723
2020-03-03,IA,-0.05841195652173912
2020-03-03,ID,-0.015554545454545458
2020-03-03,IL,0.005202335456475577
2020-03-03,IN,-0.00806254071661239
2020-03-03,KS,-0.016607971014492757
2020-03-03,KY,-0.004673758865248241
2020-03-03,LA,0.003180000000000002
2020-03-03,MA,0.05645503875968995
2020-03-03,MD,0.007923643410852702
2020-03-03,ME,-0.09133867924528302
2020-03-03,MI,0.01821223628691983
2020-03-03,MN,0.009801941747572814
2020-03-03,MO,-0.03548181818181818
2020-03-03,MS,-0.07754827586206896
2020-03-03,MT,-0.02231333333333333
2020-03-03,NC,0.11717792642140469
2020-03-03,ND,0.09026363636363637
2020-03-03,NE,0.037342857142857136
2020-03-03,NH,0.12628421052631578
2020-03-03,NJ,-0.04416307692307692
2020-03-03,NM,0.042226
2020-03-03,NV,-0.0427940170940171
2020-03-03,NY,0.004106512141280369
2020-03-03,OH,0.028513749999999987
2020-03-03,OK,0.015552040816326523
2020-03-03,OR,0.017169026548672573
2020-03-03,PA,0.041701843317972366
2020-03-03,RI,0.09451153846153847
2020-03-03,SC,-0.1317336734693878
2020-03-03,SD,0.15159375000000003
2020-03-03,TN,0.009401562500000009
2020-03-03,TX,-0.044900842105263176
2020-03-03,UT,0.01266181818181818
2020-03-03,VA,-0.006364086687306499
2020-03-03,VT,0.0074880597014925325
2020-03-03,WA,0.02520818937939862
2020-03-03,WI,-0.06588411764705882
2020-03-03,WV,-0.13158888888888887
2020-03-03,WY,0.04812857142857142
2020-03-04,AK,0.05026382978723405
2020-03-04,AL,0.0629330357142857
2020-03-04,AR,-0.07919130434782608
2020-03-04,AZ,-0.015247422680412365
2020-03-04,CA,-0.019056631366616242
2020-03-04,CO,-0.017778832116788327
2020-03-04,CT,0.011145588235294128
2020-03-04,DE,-0.01500810810810811
2020-03-04,FL,0.004533911882510007
2020-03-04,GA,0.039086792452830185
2020-03-04,HI,0.003998305084745768
2020-03-04,IA,0.06631612903225806
2020-03-04,ID,0.07206976744186047
2020-03-04,IL,0.03478409090909096
2020-03-04,IN,-0.00915578125
2020-03-04,KS,0.0653755102040816
2020-03-04,KY,-0.02488285714285715
2020-03-04,LA,0.016723125000000005
2020-03-04,MA,0.039898058252427156
2020-03-04,MD,0.056002880658436185
2020-03-04,ME,-0.02712946428571426
2020-03-04,MI,0.026142796610169498
2020-03-04,MN,-0.03892700000000001
2020-03-04,MO,0.10809119999999997
2020-03-04,MS,0.029996153846153846
2020-03-04,MT,0.008854901960784303
2020-03-04,NC,0.050268060836501864
2020-03-04,ND,0.07410625
2020-03-04,NE,0.006755172413793105
2020-03-04,NH,0.19349444444444444
2020-03-04,NJ,0.04466153846153848
2020-03-04,NM,0.004505714285714259
2020-03-04,NV,-0.054328971962616796
2020-03-04,NY,0.012493179805137318
2020-03-04,OH,-0.02344655172413793
2020-03-04,OK,0.009566371681415924
2020-03-04,OR,-0.01942679045092838
2020-03-04,PA,0.02730800970873784
2020-03-04,RI,-0.02477241379310345
2020-03-04,SC,0.08070112359550562
2020-03-04,SD,0.3122
2020-03-04,TN,0.04501304347826089
2020-03-04,TX,0.01636444683136412
2020-03-04,UT,0.06238796296296295
2020-03-04,VA,0.01578892045454546
2020-03-04,VT,0.15865849056603779
2020-03-04,WA,0.02057797118847541
2020-03-04,WI,0.002708227848101257
2020-03-04,WV,0.15100952380952382
2020-03-04,WY,0.1324470588235294
2020-03-05,AK,0.027646296296296308
2020-03-05,AL,0.011074452554744518
2020-03-05,AR,0.022633962264150934
2020-03-05,AZ,0.013242060085836909
2020-03-05,CA,-0.05038397212543561
2020-03-05,CO,0.0515018276762402
2020-03-05,CT,-0.02534104477611941
2020-03-05,DE,-0.02149649122807017
2020-03-05,FL,0.008089228886168906
2020-03-05,GA,0.049290841584158473
2020-03-05,HI,-0.016704761904761906
2020-03-05,IA,-0.017359036144578326
2020-03-05,ID,0.04847884615384616
2020-03-05,IL,0.017230549898166997
2020-03-05,IN,0.010040996784565912
2020-03-05,KS,0.030297826086956532
2020-03-05,KY,-0.08177622377622379
2020-03-05,LA,-0.13169768786127167
2020-03-05,MA,0.05738282352941176
2020-03-05,MD,0.07850040000000003
2020-03-05,ME,-0.07096612903225809
2020-03-05,MI,-0.015320703124999991
2020-03-05,MN,-0.024144688644688647
2020-03-05,MO,0.08928544303797464
2020-03-05,MS,0.00989736842105264
2020-03-05,MT,-0.03414545454545455
2020-03-05,NC,0.0561418367346939
2020-03-05,ND,0.1503904761904762
2020-03-05,NE,-0.0427741935483871
2020-03-05,NH,0.18122051282051282
2020-03-05,NJ,-0.055448717948717974
2020-03-05,NM,0.00790943396226415
2020-03-05,NV,0.03345549450549448
2020-03-05,NY,0.023580298189563368
2020-03-05,OH,0.018354716981132092
2020-03-05,OK,0.015252777777777757
2020-03-05,OR,0.0002157107231920211
2020-03-05,PA,0.01908352402745994
2020-03-05,RI,-0.11309090909090909
2020-03-05,SC,0.026199999999999994
2020-03-05,SD,-0.07992727272727274
2020-03-05,TN,0.08908343373493971
2020-03-05,TX,0.03778841240875908
2020-03-05,UT,0.005361666666666679
2020-03-05,VA,0.0002917312661498754
2020-03-05,VT,0.07102978723404256
2020-03-05,WA,0.037332928942807535
2020-03-05,WI,0.042888414634146374
2020-03-05,WV,-0.003730769230769217
2020-03-05,WY,0.002618750000000003
2020-03-06,AK,0.066625
2020-03-06,AL,0.023294193548387104
2020-03-06,AR,0.022021428571428577
2020-03-06,AZ,-0.016086166007905134
2020-03-06,CA,0.01474976851851844
2020-03-06,CO,0.06510522022838501
2020-03-06,CT,0.04196167664670658
2020-03-06,DE,0.03056990291262134
2020-03-06,FL,0.002828091106290677
2020-03-06,GA,0.06384580152671762
2020-03-06,HI,0.005965432098765438
2020-03-06,IA,-0.04197227722772277
2020-03-06,ID,0.011350847457627121
2020-03-06,IL,0.012056153846153843
2020-03-06,IN,0.013241543700340514
2020-03-06,KS,0.038402142857142864
2020-03-06,KY,-0.000637575757575757
2020-03-06,LA,-0.051916216216216206
2020-03-06,MA,0.10824308300395259
2020-03-06,MD,0.07359352818371599
2020-03-06,ME,-0.0432673469387755
2020-03-06,MI,0.023932014388489194
2020-03-06,MN,0.030284090909090903
2020-03-06,MO,-0.05359887005649719
2020-03-06,MS,-0.021728571428571434
2020-03-06,MT,-0.013344999999999992
2020-03-06,NC,0.059943533123028435
2020-03-06,ND,0.06780769230769229
2020-03-06,NE,0.07000964912280701
2020-03-06,NH,0.12630392156862746
2020-03-06,NJ,0.015073224043715852
2020-03-06,NM,-0.010362
2020-03-06,NV,0.06807699115044247
2020-03-06,NY,0.03540370009737102
2020-03-06,OH,0.03249584415584416
2020-03-06,OK,0.01045900621118015
2020-03-06,OR,-0.003526400000000002
2020-03-06,PA,0.0705215657311669
2020-03-06,RI,-0.011824999999999997
2020-03-06,SC,0.008551086956521731
2020-03-06,SD,0.24476250000000005
2020-03-06,TN,0.018638079470198687
2020-03-06,TX,0.039393026941362895
2020-03-06,UT,0.00443534482758621
2020-03-06,VA,0.03733105882352941
2020-03-06,VT,-0.05073958333333333
2020-03-06,WA,0.048874012474012477
2020-03-06,WI,0.017771186440677957
2020-03-06,WV,0.054872093023255804
2020-03-06,WY,0.11573499999999999
2020-03-07,AK,0.0609452380952381
2020-03-07,AL,-0.012226119402985071
2020-03-07,AR,-0.0537
2020-03-07,AZ,0.026148920863309354
2020-03-07,CA,-0.0030113062098500987
2020-03-07,CO,0.017534020618556703
2020-03-07,CT,0.051776223776223804
2020-03-07,DE,0.05858793103448277
