Date,my_state,Sentiment_score,#_of_likes,verified,#_of_followers,RetweetCount,state_long,cases,deaths,time,time_delayed_by_7days
2020-03-01,ak,-0.03545,2.85,0.05,8533.2,1.25,alaska,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,al,-0.06749242424242424,2.6515151515151514,0.19696969696969696,25099.318181818184,0.8333333333333334,alabama,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ar,-0.060260869565217375,1.3478260869565215,0.21739130434782608,9312.91304347826,0.21739130434782608,arkansas,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,az,-0.06658015873015873,1.0,0.07936507936507936,17482.95238095238,0.42063492063492064,arizona,1,0,2020.1671232876713,2020.1479452054793
2020-03-01,ca,-0.0651521057786485,19.99020568070519,0.06953966699314397,16629.50930460333,4.864838393731636,california,33,0,2020.1671232876713,2020.1479452054793
2020-03-01,co,-0.019745695364238397,2.4701986754966887,0.046357615894039736,10153.960264900665,0.8940397350993378,colorado,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ct,-0.1397727272727273,6.963636363636364,0.07272727272727272,29445.96363636364,2.327272727272727,connecticut,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,de,0.04659677419354839,2.4516129032258065,0.0,1950.3387096774195,0.3064516129032258,delaware,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,fl,-0.031178800856531044,4.541755888650964,0.04068522483940043,6148.565310492505,1.8543897216274092,florida,2,0,2020.1671232876713,2020.1479452054793
2020-03-01,ga,-0.05433288590604026,6.530201342281879,0.10738255033557048,13185.892617449663,2.557046979865772,georgia,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,hi,-0.013721428571428577,1.7857142857142858,0.047619047619047616,6120.071428571428,0.2380952380952381,hawaii,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ia,-0.016300000000000002,2.1666666666666665,0.06666666666666668,6733.033333333334,0.43333333333333335,iowa,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,id,-0.06936785714285716,1.0357142857142858,0.03571428571428571,1615.0,0.25,idaho,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,il,0.021935922330097102,3.1650485436893203,0.07281553398058252,14563.160194174758,1.5,illinois,3,0,2020.1671232876713,2020.1479452054793
2020-03-01,in,-0.022195738636363628,14.551136363636365,0.05397727272727273,365677.9147727273,8.721590909090908,indiana,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ks,0.0017120689655172462,1.9310344827586208,0.10344827586206896,8646.844827586207,0.6896551724137931,kansas,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ky,-0.11760434782608692,0.6086956521739131,0.0,1440.521739130435,0.043478260869565216,kentucky,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,la,-0.08062499999999999,8.9,0.05,5133.0125,2.125,louisiana,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ma,0.010832338308457713,41.0,0.10945273631840796,14759.820895522387,16.72636815920398,massachusetts,1,0,2020.1671232876713,2020.1479452054793
2020-03-01,md,-0.007974074074074076,10.194444444444443,0.037037037037037035,4516.046296296297,8.212962962962964,maryland,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,me,-0.011406060606060598,3.1818181818181817,0.045454545454545456,4521.075757575758,1.3333333333333333,maine,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,mi,-0.07963517241379309,8.2,0.09655172413793103,13070.903448275862,2.3931034482758617,michigan,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,mn,0.025287628865979392,5.103092783505153,0.10309278350515463,37273.9381443299,1.2164948453608246,minnesota,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,mo,-0.08866734693877547,3.744897959183673,0.08163265306122447,15993.418367346938,1.2959183673469388,missouri,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ms,-0.2252333333333333,2.066666666666667,0.0,1850.2666666666669,0.4666666666666667,mississippi,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,mt,0.1188,40.53333333333333,0.2,194764.26666666663,0.9333333333333332,montana,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,nc,0.021452830188679245,4.39622641509434,0.08490566037735849,10803.11320754717,1.4339622641509433,north carolina,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,nd,0.3644333333333334,4.666666666666667,0.3333333333333333,2780.0,2.0,north dakota,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ne,0.03715434782608693,7.608695652173912,0.021739130434782608,5900.717391304348,2.6956521739130435,nebraska,13,0,2020.1671232876713,2020.1479452054793
2020-03-01,nh,0.05158571428571428,2.0476190476190474,0.09523809523809523,10825.380952380952,0.5714285714285714,new hampshire,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,nj,-0.15824923076923075,3.3538461538461535,0.015384615384615384,1894.6153846153845,0.9384615384615383,new jersey,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,nm,-0.15733684210526316,1.263157894736842,0.05263157894736842,1993.4736842105265,0.21052631578947367,new mexico,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,nv,-0.02813521126760564,0.7042253521126759,0.056338028169014086,14562.309859154931,0.18309859154929575,nevada,0,0,2020.1671232876713,2020.1479452054793
2020-03-01,ny,-0.03832984293193719,21.198952879581157,0.112565445026178,68197.222513089,8.887434554973822,new york,1,0,2020.1671232876713,2020.1479452054793
2020-03-01,oh,-0.0674530612244898,2.571428571428572,0.034013605442176874,7790.931972789115,0.7755102040816326,ohio,0,0,2020.1671232876713,2020.1479452054793
