Datetime,Tweet Id,Text,Username
2021-01-20 17:49:34+00:00,1351950007650275328,"First time using hashtags
#covid
#coronavirus
#covid_19
#covid19
#octothrope",decdec2323
2021-01-20 17:48:38+00:00,1351949773352230914,"If you tweet in the woods and there's no-one there to hear it, will people still know what you had for breakfast?",decdec2323
2021-01-20 17:47:30+00:00,1351949488328359938,"Second Tweet, chirp chirp",decdec2323
2021-01-20 17:46:41+00:00,1351949284044754944,First Tweet. Going to be a test for the snscrape python library,decdec2323
