0,comment_id,comment_num_likes,date_created,post_shortcode,text
,17848507958037426,0.0,1586999674.0,B6PbZ0IpU7l,"#mompreneur #thankful #covid_19 #momgoals #arbonneconsultant #arbonne #arbonnelife #travel #brandrep #views #visionary #lifecoach #healthandwellness #healthylifestyle #stayhome #arbonnerep #vsco #naturelovers #nature_good #arbonneforgood #brandrepsearch #vsconature 
#awesomeview #positivevibes #vscogirl #fizzsticks #gtc2020"
,17843949224108463,0.0,1586999691.0,B5zG01BJbN0,"#mompreneur #thankful #covid_19 #momgoals #arbonneconsultant #arbonne #arbonnelife #travel #brandrep #views #visionary #lifecoach #healthandwellness #healthylifestyle #stayhome #arbonnerep #vsco #naturelovers #nature_good #arbonneforgood #brandrepsearch #vsconature 
#awesomeview #positivevibes #vscogirl #fizzsticks #gtc2020"
,18077018434162876,1.0,1577828511.0,B5OIhyDF4O7,So cute! 😍
,17858838343698960,1.0,1580048319.0,B5OIhyDF4O7,What a sweet little girl! She is so adorable!
,17865960439724558,0.0,1585104975.0,B5OIhyDF4O7,@amp.kelly6
,17873161756634881,0.0,1586999717.0,B5OIhyDF4O7,"#mompreneur #thankful #covid_19 #momgoals #arbonneconsultant #arbonne #arbonnelife #travel #brandrep #views #visionary #lifecoach #healthandwellness #healthylifestyle #stayhome #arbonnerep #vsco #naturelovers #nature_good #arbonneforgood #brandrepsearch #vsconature 
#awesomeview #positivevibes #vscogirl #fizzsticks #gtc2020"
,17893524886493506,0.0,1586999727.0,B_Bd94rD6oE,"-
-
-
-
-
#weho #westhollywood #la #losangeles #lacounty #losangelescounty #lacountyhealth #publichealth #lapublichealth #covid #covid19 #coronavirus #coronavirusupdate #crosswalks #crossing #pedestrian #pedestrians #pedestriancrossing #pedcrossing #pedcrosswalk #pedestriancrosswalk"
,17863109992806777,0.0,1586999739.0,B_Bd6ioltYr,#direito #advocacia #advogada #direitoporamor #consumidores #consumidor #coronavirus #covid #direitocivil #direitodotrabalho #direitopenal #direitodoconsumidor #direitotributario #direitoprevidenciario #amodireito #l4l #f4f #advogado #estudo #livros #direitodefamilia
,17847486596042097,0.0,1586999732.0,B_Bdhk-lvNE,#direito #advocacia #advogada #direitoporamor #consumidores #consumidor #coronavirus #covid #direitocivil #direitodotrabalho #direitopenal #direitodoconsumidor #direitotributario #direitoprevidenciario #amodireito #l4l #f4f #advogado #estudo #livros #direitodefamilia
,17885121445533136,0.0,1586999724.0,B_BdfhiFXA4,#direito #advocacia #advogada #direitoporamor #consumidores #consumidor #coronavirus #covid #direitocivil #direitodotrabalho #direitopenal #direitodoconsumidor #direitotributario #direitoprevidenciario #amodireito #l4l #f4f #advogado #estudo #livros #direitodefamilia
,17887852957525562,0.0,1586991605.0,B_BMFa5HGmy,Que post mais lindo! Sem palavras!😍😘🙌
,17849804048016951,0.0,1586996347.0,B_BMFa5HGmy,Que lindo ❤️
,18113856466102509,0.0,1586998781.0,B_BMFa5HGmy,Caaaa!!!!! Amei amei!!!! 💙💙💙💙💙🥰🥰🥰🥰🥰 tamo junto! 😅😅😅🙌🤩🤪
,18126278668078569,0.0,1586999737.0,B_BMFa5HGmy,#covid #quarentine #quarentinestories #desabafo #reflexao #maternidade #maternity #maedemenina #maedemenino #gravidez #sunset #saopaulo #pinksky #brasil #brazil #stayhome #ficaemcasa #cinzaerosa #postpartum #homeschooling #ead #quarentena #mãecomsono #heymaes #posparto #gratidao #gratitude #mamaes
,18100878946093796,0.0,1586962207.0,B-_7OWtICd9,😍😍
,17853168889952014,0.0,1586962208.0,B-_7OWtICd9,😉
,18084161815172631,0.0,1586962225.0,B-_7OWtICd9,Follow me 😜
,17873315275643128,0.0,1586992917.0,B-_7OWtICd9,🔥📸🔥
,17853237157958684,0.0,1586997239.0,B-_7OWtICd9,🔥🔥🔥🔥🔥
,,,,,
"{'post_shortcode': 'B_BeAhmpvcA', 'comment_id': '17872104856642504', 'text': '.\n.\n.\n.\n.\n.\n#facemask #quarantine #coronavirus #healthy #healthyconscious #fashionfacemask #fashionablefacemaak #facemasks #nurse #istayhome #staysafe #safety #covid19 #travelmasks #travelfacemasks #travels #socialdistance #socialdistancing #hollywood #losangeles #losangelesfacemask #fashionablefacemasks #fashionfacemasks #laprotects #sandiego #masks #mask', 'date_created': 1586999745, 'comment_num_likes': 0}",,,,,
"{'post_shortcode': 'B_Bd-ELlmh6', 'comment_id': '17923766827379209', 'text': '#arcondicionado\n#hvac\n#split\n#climatizacao\n#hvaclife\n#eletricapredial\n#instalacao\n#manutencao\n#limpeza\n#daikin\n#advanced\n#exclusive\n#elgin\n#agratto\n#trane\n#senai\n#fiesc\n#gerenciamento\n#itapema\n#balneariocamboriu\n#coronavirus\n#virus\n#ferramenta \n#almoxarifado', 'date_created': 1586999766, 'comment_num_likes': 0}",,,,,
"{'post_shortcode': 'B_Bd54th6Zr', 'comment_id': '17901751783456546', 'text': '#flamengo #flamengoo #flamenguistas #mengao #mengo #mengaodomeucoracao #issoaquieflamengo #umavezflamengo #coronavirus #bolsonaro #vamosflamengo #gabigol  #globoesporte #foxsports #foxsportsradio #sdvtodos #maracana  #netflix #gabigol #hojetemgoldogabigol #srn  #corona #gol  #sdvnahora #youtube #bbb20 #desimpedidos #sdv #bbb #sportv #desenho', 'date_created': 1586999766, 'comment_num_likes': 0}",,,,,
"{'post_shortcode': 'B_BdWuDAeLh', 'comment_id': '17876819623612150', 'text': '#video #videographer #videography #musicvideo #musicvideos #musicvideoshoot #bookme #musicvideoshooting #cinematography #movie #8700films #drewflacko #ontheroad #losangeles #upnext #promotingsounds #rockstar #newwave #inlandempire #promo #covid #coronavirus', 'date_created': 1586999760, 'comment_num_likes': 0}",,,,,
,17861873221799264,0.0,1586999787.0,B_BeBFzpMl9,7 for me 🐶
,17864945428753594,0.0,1586999600.0,B_BdnReJoG5,수진이~~~ 홧팅😍😍😍😍
,18138358657057922,0.0,1586999664.0,B_BdnReJoG5,등짝 너무 이쁘게 적어놓은거 아닙니꺄 샘 ㅋㅋㅋ화팅여❤️
,17942219395347616,0.0,1586999658.0,B_BdkZ5gu3F,🔥🔥
,18138233596011183,1.0,1586999492.0,B_BaOoHAkt6,"That's a nice one💥 there is no need for more words, just wanted to say 💯👌"
,18112516606128006,0.0,1586999710.0,B_Bdgi_hcJI,😍😍😍😍😍
,17918949064403821,0.0,1586999629.0,B_Bde4CHRD1,#TacklingChildcare #IFCgender #Covid19 #corona #coronavid19 #Corona #covid #childcare #children #baby #parenting #parenthood
,17937151687361055,0.0,1586999540.0,B_BdeejDyEU,Amei😘😘
,18049504198237570,0.0,1586999594.0,B_BdcJkBwUU,#pandemic #stayhomeandread #stayhome #coronavid19 #covid19 #stayathome #staystrong #artistsoninstagram #art #draw #illustration_daily #cuteart #hiendraw #coffee #pillow #pillowtalk #characterart
,18101687800085824,0.0,1586999481.0,B_BdB4yBf9b,Hahahahahahah
,18016729447279337,0.0,1586999494.0,B_BdB4yBf9b,🔥🔥🔥🔥🔥🔥🔥
,18048555460242506,0.0,1586999568.0,B_BdB4yBf9b,Wtffffff lmaoo 💛
,18100842334090726,0.0,1586999609.0,B_BdB4yBf9b,😂😂😂 🔥🔥🔥
,17861443399835755,0.0,1586999503.0,B_BdWcqF0E2,#newyork #coronamemes #coro #coronavirus #coronavid19 #coronpalawan
,18085005439175371,0.0,1586999508.0,B_Bc5XsJRoD,#corona #coronamemes #governmentconspiracy #government #coronavid19 #coronavibes #stayhome #share#lmao#repost#explorepage #explore #followme#likeforlikes#followforfollow#donaldtrump #cardib #worldstar #wshh#views#viral#reallife #reality
,18095688772154702,0.0,1586999563.0,B_Bc5XsJRoD,#followforfollow#likeforlikes#comedy#comedyskits#skits#wshh#fights#wshhfights#reactionmemes#dailyvideos#dailyvines#hityogroovechallenge w
,17876667547611981,0.0,1586999670.0,B_Bc5XsJRoD,#hityogroove #dubchallenge #teamfrimzy #gainpost#tiktokapp#2020dance#dances#woahchallenge #runningmanchallenge #glowup #gloup#fighttheairchallenge #jujuonthatbeat #worldstar#worldstarhiphop #wshh#tiktokdance##filpagram #gloupchallenge #untiltomorrowchallenge #untiltomorrow #dancemoms #love#tiktok#renegadechallenge #soflo #daquan #viral #comedy #lol
,17943367144342836,0.0,1586999771.0,B_BdNelnG01,Cool
,17888059663519982,0.0,1586999647.0,B_Bc848B1W5,👍👍👍
,17958562732315041,0.0,1586999308.0,B_BdKXTlHCu,B
,18138505174043207,0.0,1586999393.0,B_BdKXTlHCu,A
,17889520876519635,0.0,1586999411.0,B_BdKXTlHCu,B
,18100486147184514,0.0,1586999412.0,B_BdKXTlHCu,A
,17854379989940206,0.0,1586999432.0,B_BdKXTlHCu,B
,17904041566445834,0.0,1586999575.0,B_BdKXTlHCu,A
,17846657186072819,1.0,1586999488.0,B_BdFBygCoP,Wow amazing
,18136149991021625,0.0,1586999551.0,B_BdDFOondW,#corona #coronavid19 #stayhomesavelives #stayhome #momlife #momsplaining #ilovewine #ilovewhatido #winelover #winetime #momsofinstagram #momblogger #mommyandme #mompreneur #coronavirus #inthistogether #inthismoment #onlineshopping #shoppingonline #shoppingaddict #smallbusiness #smallbusinessowner #smallbusinesses #smallshoplove #smallshopsupporter #momstruggles #momlifebelike
,17878220662604539,0.0,1586999660.0,B_BdDFOondW,@pamellaz__ 😂
,17865017656758920,0.0,1586998447.0,B_BbiFrlsuP,Yezzzzz🔥
,17863316491796760,0.0,1586999058.0,B_BbiFrlsuP,Cheers 🥂✌🏼
,17939330107356328,2.0,1586981003.0,B_A4Yo7Bk3_,"Retomando manuscritos sin terminar, tal vez interminables, y entregado a lecturas que se parecen mucho a un viaje..."
,18024636169270089,1.0,1586986955.0,B_A4Yo7Bk3_,"Estaba pensando en estos tiempos y espacios que no convocan sino que son de conectividad...para trabajar,para entretenerse,para estudiar,para planificar actividades escolares...y el sujeto?...De qué estamos aislados?"
,17861151724839090,1.0,1586987560.0,B_A4Yo7Bk3_,"Organizar el dia... Sentirte que podes dominar tu tiempo.... Resignarse a que el otro tiempo se escapa de tus manos .....
Cuando uno se siente impotente ante la necesidad de hacer algo...hay que intentarlo uno y mil veces.....buscar un abanico de posibilidades... Seguro que se encuentra la forma y eso gratifica.. Uno se siente más autónomo... Y .. Si .no.... siempre hay alguien que te puede llegar a dar una mano (con la distancia adecuada😀) ... Tratar .. ésto si.... es muy difícil... No preguntrase dónde están las personas que amo? ....Afuera.. No puedo  protegerlos  no puedo estar a su lado.... No saber a ciencia cierta... qué es lo que puede pasar.. Uno acá en un bunker.... Pero... Los que quiero.????.... Los que abrazo?????...
Los que necesito oir...????.. Los necesito saber que me extrañan..????.los que extraño con locura.... ????
Son momentos..... momentos de pasarla mejor... momentos de poner  toda la onda..... Porque seguro que cuando flaqueas... (Que tampoco está mal.).... Llega una video llamada.... Un te quiero... Un te extraño y el dia se vuelve fiesta"
,17881072057548123,1.0,1585341713.0,B-KaU6Jgz-r,چشم زندگیم❤️
,17869247953705218,0.0,1586999769.0,B_Bd8ZuA0GK,Lol I want ice cream
,17953380424323664,0.0,1586999681.0,B_Bd4fRFD0X,Face Mask ❤️ #facemask #covid2020 #kidsofinstagram #washyourhands #personalizedgifts #funnyvideos #Jesus #jesus #entrepreneurlife #entrepreneur #entrepreneurmindset #entrepreneurial #nurse #nursingschool #nursingstudent #icunurse #icunurses ##malenurse #malenurselife ##nurselife #nurse💉💊 #nurse💉 #tshirt #tshirtdesign #tshirtshop #tshirtprinting #covid #covi̇d19
,17873218000642876,0.0,1586999698.0,B_BdyKzloU0,Face Mask ❤️ #facemask #covid2020 #kidsofinstagram #washyourhands #personalizedgifts #funnyvideos #Jesus #jesus #entrepreneurlife #entrepreneur #entrepreneurmindset #entrepreneurial #nurse #nursingschool #nursingstudent #icunurse #icunurses ##malenurse #malenurselife ##nurselife #nurse💉💊 #nurse💉 #tshirt #tshirtdesign #tshirtshop #tshirtprinting #covid #covi̇d1
,17923755073379330,0.0,1586998939.0,B_BcRnMD5SP,My fav!
,17958785017313062,0.0,1586999109.0,B_BcRnMD5SP,❤️❤️❤️❤️
,18096355177144471,0.0,1586999347.0,B_BcRnMD5SP,THE best of the best!
,18017454634274192,0.0,1586999671.0,B_BcRnMD5SP,Excited to learn from you in the future!
,17938640995359075,0.0,1586998760.0,B_BcHMZJD49,Amen
,17846655524074045,1.0,1586998868.0,B_BcHMZJD49,Amén
,18024407572269564,2.0,1586998931.0,B_BcEhGJCvK,Oh you rascal 😆🙈
,18114051661102163,0.0,1586999340.0,B_BcEhGJCvK,😍
,17856582424887772,0.0,1586998845.0,B_Bb5HOlBRY,"#coronavirus #socialdistancing #coronamemes #quarantinememes #covid_19
#virus, #covıd19 #covid #corona #coronaviruspandemic #stayhome #flattenthecurve #covidkindness #covidcooking #stopthespread #covidmask #quarantinelife #quarantineandchill #quarantinememes #weareinthistogether #pandemiccovid19 #physicaldistancing #covid19canada #covidupdates #covid2020"
,17910935761425228,0.0,1586999401.0,B_Bb5HOlBRY,It's an honor to invest with @khristina_billionaire_team my profit has been hitting my account ever since she started trading on my behalf  I'm excited living the life I deserved don't be discouraged one encounter with @khristina_billionaire_team can also change your stories
,18100723903081875,0.0,1586998666.0,B_BbjybF0L-,"#covid_19😷
#covid2020
#quarantine2020
#socialdistance
#socialdistancing2020
#coronaviruspandemic
#coronapandemic
#coronapanic
#bakeoftheday
#bakeyourworldhappy
#whatibakedtoday
#imsomartha
#sugarcoma
#bakersgonnabake
#instabaker
#survivingmotherhood
#realmomlife
#myfamily❤️
#coffeemom
#justmomlife
#reallifemom
#happymamalike
#overwhelmedmom
#motherhoodunhinged
#family❤
#mymamahood
#busymomlife
#crazymomlife
#ohheymamas"
